,Area,Smart Phone,Multiple Devices,Wifi,Electricity Problem,Online/Offline
750,Village,no,no,yes,no,Offline
751,Village,yes,no,no,yes,Offline
752,Town,yes,no,no,yes,Online
753,Village,yes,yes,yes,yes,Offline
754,Village,yes,yes,yes,yes,Online
755,Town,no,no,yes,no,Online
756,Village,no,no,no,no,Offline
757,Village,yes,yes,no,no,Offline
758,Town,no,no,no,yes,Online
759,Village,no,yes,no,yes,Online
760,Town,no,no,yes,yes,Offline
761,Village,yes,no,no,no,Online
762,Village,yes,no,yes,yes,Offline
763,Village,yes,yes,yes,yes,Offline
764,Town,no,yes,no,yes,Online
765,Village,no,yes,yes,yes,Online
766,Village,no,yes,no,no,Offline
767,Village,yes,no,yes,no,Online
768,Village,no,yes,yes,yes,Online
769,Village,yes,no,yes,yes,Online
770,Village,no,yes,yes,no,Offline
771,Village,no,yes,no,no,Offline
772,Town,no,yes,no,yes,Online
773,Town,yes,yes,yes,yes,Online
774,Village,no,yes,yes,yes,Offline
775,Town,no,no,yes,no,Online
776,Town,yes,yes,yes,no,Online
777,Village,no,no,yes,yes,Offline
778,Town,yes,yes,yes,no,Offline
779,Village,yes,yes,no,no,Online
780,Village,yes,no,yes,yes,Online
781,Town,no,yes,no,no,Online
782,Town,yes,yes,no,yes,Online
783,Town,no,yes,no,yes,Offline
784,Village,yes,no,no,no,Offline
785,Village,no,no,yes,yes,Offline
786,Village,no,yes,no,yes,Online
787,Village,no,yes,no,yes,Offline
788,Town,yes,yes,no,yes,Offline
789,Village,yes,no,no,yes,Online
790,Village,no,yes,yes,no,Online
791,Village,no,yes,yes,no,Offline
792,Town,yes,yes,no,no,Online
793,Village,yes,no,no,no,Online
794,Town,no,no,yes,no,Offline
795,Town,yes,yes,yes,yes,Online
796,Town,yes,yes,yes,yes,Offline
797,Town,no,no,yes,yes,Online
798,Town,yes,yes,yes,yes,Offline
799,Town,yes,yes,yes,no,Offline
800,Town,yes,no,yes,no,Online
801,Village,no,no,yes,yes,Offline
802,Town,no,no,no,yes,Offline
803,Village,no,no,yes,no,Online
804,Town,yes,no,no,yes,Online
805,Village,no,no,yes,yes,Offline
806,Village,no,yes,yes,yes,Offline
807,Town,yes,yes,yes,yes,Offline
808,Town,no,yes,yes,yes,Offline
809,Town,yes,yes,no,no,Online
810,Village,yes,no,no,no,Online
811,Village,no,yes,no,no,Offline
812,Village,yes,yes,no,no,Offline
813,Town,no,no,no,yes,Offline
814,Village,no,no,no,no,Offline
815,Town,yes,no,yes,no,Offline
816,Village,no,yes,no,yes,Offline
817,Village,no,no,yes,yes,Online
818,Town,yes,no,yes,no,Offline
819,Town,yes,no,no,yes,Offline
820,Village,no,yes,yes,yes,Offline
821,Village,no,no,no,no,Offline
822,Town,yes,yes,yes,no,Offline
823,Village,yes,no,yes,yes,Offline
824,Village,no,no,yes,yes,Online
825,Town,no,yes,no,no,Offline
826,Town,no,no,yes,yes,Offline
827,Village,yes,no,no,no,Online
828,Village,no,no,yes,yes,Online
829,Town,yes,yes,yes,yes,Offline
830,Town,yes,yes,yes,yes,Offline
831,Town,no,no,yes,yes,Online
832,Town,yes,yes,yes,no,Offline
833,Town,yes,no,yes,yes,Offline
834,Town,yes,no,yes,yes,Offline
835,Village,yes,yes,yes,yes,Offline
836,Village,yes,no,yes,yes,Online
837,Town,no,no,no,no,Online
838,Town,yes,no,no,no,Offline
839,Village,no,yes,yes,no,Offline
840,Town,yes,no,no,yes,Offline
841,Village,no,no,no,yes,Offline
842,Village,yes,yes,no,no,Offline
843,Town,yes,yes,no,no,Offline
844,Village,yes,yes,no,yes,Offline
845,Village,yes,no,no,yes,Online
846,Village,no,yes,yes,no,Online
847,Village,yes,no,no,no,Online
848,Village,no,yes,yes,yes,Offline
849,Town,yes,no,yes,no,Online
850,Town,no,yes,no,yes,Online
851,Village,yes,yes,no,yes,Offline
852,Town,no,no,no,yes,Offline
853,Town,yes,no,yes,yes,Online
854,Village,no,no,no,yes,Online
855,Village,no,yes,no,yes,Offline
856,Village,yes,no,yes,no,Online
857,Town,no,yes,no,no,Offline
858,Town,no,no,no,no,Online
859,Village,no,no,no,yes,Offline
860,Town,no,yes,no,yes,Online
861,Village,yes,yes,yes,no,Online
862,Town,yes,yes,no,yes,Offline
863,Town,yes,no,yes,no,Online
864,Village,no,yes,no,yes,Online
865,Town,yes,yes,no,yes,Offline
866,Village,no,no,no,no,Online
867,Town,yes,yes,no,yes,Online
868,Town,no,yes,no,yes,Online
869,Village,no,no,yes,no,Offline
870,Village,no,no,yes,no,Online
871,Village,yes,yes,no,no,Online
872,Village,no,yes,yes,yes,Offline
873,Town,yes,yes,yes,yes,Offline
874,Town,no,no,yes,no,Online
875,Village,no,no,no,yes,Offline
876,Village,no,yes,no,yes,Offline
877,Village,yes,no,no,no,Offline
878,Village,yes,no,yes,yes,Online
879,Town,no,yes,yes,yes,Offline
880,Village,yes,yes,no,yes,Online
881,Village,no,yes,no,yes,Online
882,Village,yes,no,yes,yes,Online
883,Town,no,no,yes,yes,Offline
884,Town,yes,no,no,no,Offline
885,Village,yes,yes,yes,no,Offline
886,Village,yes,yes,yes,yes,Online
887,Village,no,no,no,no,Offline
888,Town,yes,yes,no,yes,Online
889,Town,yes,no,no,no,Offline
890,Village,no,yes,no,no,Online
891,Town,yes,no,no,yes,Online
892,Town,yes,yes,yes,no,Offline
893,Town,no,yes,no,yes,Online
894,Village,no,yes,no,no,Offline
895,Town,no,no,yes,yes,Online
896,Village,yes,no,yes,yes,Offline
897,Town,yes,yes,no,yes,Online
898,Village,no,yes,yes,no,Offline
899,Town,yes,yes,no,yes,Offline
900,Town,no,yes,no,no,Online
901,Town,yes,yes,yes,yes,Offline
902,Village,yes,no,no,yes,Offline
903,Town,no,no,yes,no,Offline
904,Village,yes,yes,yes,yes,Offline
905,Village,no,no,no,no,Offline
906,Village,no,no,yes,yes,Offline
907,Town,yes,yes,yes,no,Offline
908,Town,no,yes,yes,no,Online
909,Village,no,no,no,yes,Offline
910,Town,no,yes,no,yes,Offline
911,Town,yes,yes,yes,no,Online
912,Village,no,no,yes,yes,Online
913,Town,yes,yes,no,yes,Online
914,Village,yes,yes,yes,yes,Online
915,Town,no,yes,no,no,Online
916,Town,no,yes,no,no,Offline
917,Village,yes,no,no,yes,Online
918,Village,no,yes,no,no,Online
919,Town,no,yes,no,no,Offline
920,Village,no,yes,no,no,Offline
921,Town,no,yes,no,yes,Online
922,Village,no,yes,no,yes,Online
923,Village,no,no,yes,no,Online
924,Village,yes,no,yes,yes,Offline
925,Town,no,yes,no,no,Online
926,Town,no,no,yes,yes,Online
927,Town,no,yes,yes,yes,Online
928,Town,yes,no,no,yes,Online
929,Village,yes,yes,no,yes,Online
930,Town,no,yes,yes,yes,Offline
931,Town,no,no,yes,yes,Offline
932,Village,no,no,no,yes,Offline
933,Village,yes,yes,yes,yes,Online
934,Village,yes,no,yes,no,Offline
935,Town,yes,no,no,no,Online
936,Village,yes,yes,yes,yes,Offline
937,Town,yes,no,yes,yes,Offline
938,Village,no,no,no,yes,Online
939,Village,yes,no,yes,yes,Online
940,Town,no,no,yes,no,Offline
941,Village,no,no,no,no,Offline
942,Town,yes,yes,yes,no,Offline
943,Village,no,no,no,no,Online
944,Village,yes,no,no,yes,Online
945,Village,yes,no,yes,yes,Offline
946,Village,yes,yes,no,yes,Online
947,Town,yes,no,no,yes,Offline
948,Town,no,yes,yes,yes,Online
949,Town,no,yes,no,no,Offline
950,Town,no,yes,yes,no,Online
951,Town,no,no,no,no,Offline
952,Village,no,yes,yes,no,Online
953,Town,yes,no,no,no,Offline
954,Town,yes,no,no,no,Online
955,Village,no,yes,yes,no,Online
956,Town,yes,yes,no,yes,Offline
957,Village,no,no,no,no,Online
958,Town,yes,yes,yes,no,Online
959,Village,no,yes,no,yes,Offline
960,Town,no,no,yes,yes,Online
961,Village,yes,yes,no,no,Offline
962,Town,no,yes,no,no,Online
963,Town,no,no,yes,yes,Online
964,Town,no,yes,yes,no,Offline
965,Town,yes,no,yes,no,Offline
966,Village,no,yes,yes,yes,Offline
967,Town,no,yes,yes,no,Online
968,Town,yes,yes,yes,no,Offline
969,Village,yes,no,no,no,Online
970,Village,yes,yes,yes,no,Offline
971,Town,no,no,no,yes,Online
972,Village,no,yes,no,yes,Offline
973,Village,no,yes,no,yes,Offline
974,Town,yes,yes,no,no,Offline
975,Town,no,no,no,yes,Online
976,Village,yes,no,no,no,Online
977,Village,no,yes,yes,no,Online
978,Town,no,yes,no,no,Online
979,Town,no,no,no,no,Offline
980,Village,yes,no,yes,yes,Offline
981,Village,no,no,yes,no,Offline
982,Town,no,yes,no,no,Offline
983,Town,yes,no,yes,no,Offline
984,Town,yes,no,yes,no,Offline
985,Town,no,yes,no,yes,Online
986,Town,yes,no,no,no,Online
987,Town,no,yes,yes,no,Online
988,Town,no,yes,yes,yes,Offline
989,Village,yes,no,yes,no,Offline
990,Town,no,no,yes,no,Online
991,Town,yes,no,no,yes,Offline
992,Town,no,yes,yes,no,Offline
993,Town,yes,yes,yes,yes,Offline
994,Town,yes,yes,no,yes,Offline
995,Village,yes,no,no,no,Online
996,Town,yes,no,no,no,Offline
997,Village,no,yes,no,no,Online
998,Village,no,no,no,yes,Offline
999,Village,yes,no,yes,no,Offline
1000,Village,no,yes,yes,no,Offline
1001,Village,no,yes,no,yes,Offline
1002,Town,no,yes,yes,yes,Online
1003,Town,no,yes,no,yes,Offline
1004,Village,yes,yes,yes,no,Offline
1005,Village,no,yes,yes,yes,Online
1006,Town,no,yes,no,yes,Offline
1007,Town,yes,yes,yes,yes,Online
1008,Town,no,no,no,no,Offline
1009,Village,no,yes,no,no,Online
1010,Village,no,yes,no,yes,Offline
1011,Village,yes,yes,yes,no,Online
1012,Town,no,yes,no,no,Offline
1013,Town,yes,no,no,no,Online
1014,Town,no,no,yes,yes,Offline
1015,Village,no,no,yes,no,Offline
1016,Town,yes,no,yes,yes,Online
1017,Village,yes,no,yes,no,Online
1018,Village,no,no,no,no,Offline
1019,Village,yes,yes,no,no,Online
1020,Village,yes,no,yes,no,Offline
1021,Village,yes,yes,yes,no,Offline
1022,Town,yes,yes,yes,no,Online
1023,Town,yes,no,no,no,Offline
1024,Town,yes,no,yes,yes,Offline
1025,Village,no,yes,no,no,Offline
1026,Village,no,no,no,yes,Offline
1027,Town,no,yes,yes,yes,Offline
1028,Town,no,yes,no,no,Offline
1029,Village,no,yes,yes,no,Offline
1030,Village,no,yes,no,yes,Online
1031,Village,no,yes,no,no,Online
1032,Town,yes,yes,yes,no,Offline
1033,Village,yes,no,no,no,Offline
1034,Village,no,yes,no,yes,Online
1035,Village,yes,yes,no,no,Offline
1036,Village,yes,no,no,no,Online
1037,Village,yes,no,yes,yes,Offline
1038,Town,yes,no,no,yes,Offline
1039,Town,yes,no,no,no,Offline
1040,Village,yes,no,no,no,Online
1041,Village,yes,yes,no,yes,Online
1042,Village,no,no,no,yes,Offline
1043,Town,yes,yes,yes,yes,Offline
1044,Town,no,yes,no,yes,Online
1045,Town,yes,yes,yes,yes,Offline
1046,Village,yes,no,no,no,Offline
1047,Village,yes,yes,no,yes,Online
1048,Town,yes,no,yes,no,Online
1049,Town,no,yes,no,no,Online
1050,Town,no,no,yes,yes,Online
1051,Village,no,yes,no,yes,Online
1052,Town,yes,yes,no,yes,Offline
1053,Town,yes,no,yes,yes,Offline
1054,Town,no,no,no,yes,Online
1055,Village,yes,yes,no,yes,Online
1056,Town,yes,yes,yes,yes,Offline
1057,Village,no,yes,no,yes,Offline
1058,Town,yes,no,yes,yes,Offline
1059,Village,yes,no,yes,no,Online
1060,Town,no,no,no,no,Online
1061,Town,yes,yes,yes,no,Online
1062,Town,yes,yes,no,yes,Offline
1063,Village,yes,yes,no,yes,Offline
1064,Town,yes,no,yes,yes,Online
1065,Village,no,no,no,no,Offline
1066,Village,no,yes,no,no,Offline
1067,Town,yes,no,yes,no,Online
1068,Village,yes,no,no,no,Offline
1069,Town,yes,yes,yes,yes,Online
1070,Village,yes,yes,no,no,Offline
1071,Town,no,no,yes,no,Offline
1072,Village,no,yes,yes,yes,Offline
1073,Village,yes,no,no,no,Offline
1074,Town,no,no,yes,yes,Online
1075,Village,yes,yes,yes,yes,Offline
1076,Town,yes,yes,yes,yes,Online
1077,Town,no,yes,no,yes,Online
1078,Village,yes,no,yes,yes,Offline
1079,Village,yes,no,no,no,Offline
1080,Town,no,no,no,no,Offline
1081,Village,yes,yes,yes,yes,Online
1082,Town,no,yes,no,yes,Online
1083,Town,yes,no,no,yes,Offline
1084,Town,yes,no,no,no,Offline
1085,Town,no,no,yes,no,Online
1086,Village,no,no,yes,no,Online
1087,Town,yes,yes,yes,no,Online
1088,Town,yes,yes,yes,no,Offline
1089,Town,yes,yes,yes,yes,Offline
1090,Village,yes,yes,no,no,Offline
1091,Village,yes,no,no,yes,Online
1092,Village,no,yes,yes,no,Offline
1093,Village,no,no,no,yes,Offline
1094,Village,no,no,yes,yes,Online
1095,Village,yes,no,no,yes,Online
1096,Town,yes,no,no,yes,Offline
1097,Village,yes,yes,no,yes,Online
1098,Village,no,no,yes,no,Online
1099,Village,no,no,yes,yes,Offline
1100,Village,no,no,yes,no,Offline
1101,Town,no,no,yes,no,Online
1102,Town,yes,no,yes,no,Offline
1103,Town,no,no,no,yes,Online
1104,Village,no,no,no,yes,Online
1105,Village,no,yes,no,no,Online
1106,Village,no,no,no,no,Online
1107,Village,yes,yes,yes,yes,Offline
1108,Town,yes,yes,no,yes,Online
1109,Town,no,no,yes,no,Online
1110,Village,yes,no,yes,no,Offline
1111,Village,no,yes,yes,yes,Online
1112,Village,no,no,yes,no,Offline
1113,Village,no,yes,no,no,Online
1114,Town,yes,yes,no,yes,Online
1115,Town,yes,no,yes,yes,Online
1116,Town,yes,no,yes,no,Online
1117,Village,no,yes,yes,no,Online
1118,Town,yes,yes,no,no,Online
1119,Town,yes,no,yes,yes,Online
1120,Town,yes,no,yes,no,Offline
1121,Village,yes,yes,no,yes,Offline
1122,Town,no,no,yes,yes,Online
1123,Town,yes,no,no,no,Online
1124,Town,yes,yes,yes,yes,Online
1125,Town,no,yes,yes,yes,Offline
1126,Town,no,yes,yes,no,Offline
1127,Village,yes,no,no,no,Offline
1128,Town,no,no,yes,yes,Offline
1129,Town,no,yes,no,yes,Online
1130,Village,no,no,no,no,Online
1131,Town,yes,yes,no,yes,Offline
1132,Town,yes,yes,yes,yes,Online
1133,Town,yes,no,yes,yes,Offline
1134,Town,yes,no,no,yes,Online
1135,Town,yes,yes,yes,yes,Online
1136,Town,yes,no,yes,no,Online
1137,Town,yes,yes,yes,yes,Online
1138,Town,yes,no,yes,yes,Offline
1139,Town,yes,no,no,yes,Online
1140,Town,yes,no,no,yes,Online
1141,Village,no,yes,no,no,Offline
1142,Village,no,yes,no,no,Online
1143,Village,no,yes,no,yes,Offline
1144,Village,no,no,no,yes,Offline
1145,Town,yes,yes,yes,no,Offline
1146,Town,yes,yes,no,no,Online
1147,Town,no,no,yes,yes,Offline
1148,Village,no,yes,yes,no,Online
1149,Village,yes,no,no,yes,Online
1150,Town,no,yes,no,yes,Offline
1151,Village,no,no,yes,yes,Offline
1152,Town,no,yes,yes,yes,Online
1153,Town,yes,no,no,no,Offline
1154,Town,yes,yes,no,yes,Offline
1155,Town,yes,no,yes,yes,Online
1156,Village,yes,no,no,no,Online
1157,Village,yes,yes,no,no,Online
1158,Town,yes,yes,yes,no,Online
1159,Village,no,yes,yes,yes,Online
1160,Village,no,yes,no,yes,Online
1161,Village,no,no,yes,no,Online
1162,Town,no,no,yes,yes,Offline
1163,Town,yes,no,yes,no,Offline
1164,Town,yes,yes,yes,yes,Offline
1165,Town,yes,yes,no,yes,Online
1166,Town,no,yes,no,yes,Offline
1167,Town,no,no,yes,yes,Offline
1168,Town,no,yes,yes,no,Offline
1169,Town,yes,yes,yes,no,Offline
1170,Town,yes,no,yes,no,Offline
1171,Village,yes,no,yes,yes,Offline
1172,Village,no,yes,yes,yes,Online
1173,Village,yes,no,no,yes,Online
1174,Village,yes,no,no,yes,Online
1175,Town,yes,no,yes,yes,Offline
1176,Town,no,yes,no,no,Online
1177,Town,no,yes,no,no,Offline
1178,Village,yes,no,no,yes,Offline
1179,Town,no,yes,yes,no,Offline
1180,Village,yes,no,yes,yes,Online
1181,Town,no,no,yes,no,Online
1182,Town,no,yes,yes,yes,Offline
1183,Town,no,yes,yes,no,Online
1184,Village,no,no,no,yes,Online
1185,Village,yes,yes,yes,yes,Offline
1186,Village,no,yes,no,no,Offline
1187,Village,yes,yes,no,yes,Online
1188,Village,no,yes,no,yes,Online
1189,Village,no,no,no,no,Offline
1190,Village,yes,no,yes,no,Online
1191,Town,yes,no,yes,no,Online
1192,Village,yes,yes,yes,no,Online
1193,Town,yes,yes,no,yes,Offline
1194,Village,yes,yes,yes,yes,Offline
1195,Town,yes,yes,no,yes,Offline
1196,Village,yes,yes,no,yes,Online
1197,Town,yes,yes,yes,yes,Offline
1198,Town,no,no,yes,no,Online
1199,Town,no,no,no,yes,Offline
1200,Village,yes,no,no,yes,Online
1201,Town,yes,yes,yes,yes,Offline
1202,Village,yes,yes,no,no,Offline
1203,Town,no,yes,yes,no,Offline
1204,Village,no,no,yes,yes,Online
1205,Village,no,yes,yes,yes,Offline
1206,Village,no,yes,no,no,Online
1207,Town,yes,no,yes,yes,Online
1208,Village,no,yes,no,no,Online
1209,Village,no,no,no,yes,Offline
1210,Town,yes,no,yes,no,Online
1211,Village,no,yes,yes,no,Online
1212,Town,no,yes,yes,no,Online
1213,Town,no,no,no,no,Online
1214,Town,yes,yes,yes,no,Offline
1215,Village,no,no,no,no,Offline
1216,Village,no,no,no,no,Offline
1217,Town,no,no,no,yes,Online
1218,Village,yes,yes,yes,no,Offline
1219,Village,no,no,yes,no,Online
1220,Town,yes,no,no,no,Online
1221,Town,no,no,yes,no,Offline
1222,Town,yes,yes,no,yes,Offline
1223,Village,no,no,yes,no,Offline
1224,Town,yes,no,yes,no,Offline
1225,Town,no,no,no,no,Offline
1226,Village,no,yes,yes,yes,Offline
1227,Village,yes,no,no,yes,Offline
1228,Village,no,yes,no,no,Online
1229,Town,yes,no,no,no,Online
1230,Village,no,no,no,yes,Offline
1231,Village,yes,no,yes,no,Offline
1232,Village,no,no,yes,no,Offline
1233,Town,yes,no,yes,no,Offline
1234,Town,yes,yes,no,yes,Offline
1235,Village,no,no,yes,no,Online
1236,Town,no,yes,no,yes,Online
1237,Village,no,yes,yes,no,Offline
1238,Town,yes,no,yes,yes,Offline
1239,Village,no,yes,yes,no,Offline
1240,Village,no,yes,yes,yes,Offline
1241,Town,no,yes,no,yes,Online
1242,Town,yes,no,yes,yes,Offline
1243,Village,no,no,yes,yes,Online
1244,Town,no,no,yes,no,Offline
1245,Town,yes,yes,yes,yes,Offline
1246,Village,yes,no,no,no,Online
1247,Town,no,yes,no,yes,Online
1248,Village,yes,no,no,yes,Offline
1249,Village,no,no,no,yes,Online
1250,Village,no,yes,no,yes,Online
1251,Town,no,yes,yes,yes,Offline
1252,Town,no,no,no,no,Offline
1253,Village,yes,no,no,no,Online
1254,Town,no,no,yes,yes,Online
1255,Town,yes,yes,no,no,Online
1256,Town,yes,no,yes,no,Online
1257,Town,no,yes,no,no,Online
1258,Village,yes,no,yes,yes,Online
1259,Town,no,yes,no,yes,Offline
1260,Village,yes,no,yes,yes,Online
1261,Village,no,no,yes,yes,Offline
1262,Village,no,yes,no,yes,Online
1263,Town,no,yes,no,yes,Offline
1264,Town,no,no,yes,no,Online
1265,Village,yes,yes,no,yes,Offline
1266,Town,yes,yes,no,yes,Offline
1267,Village,yes,no,no,no,Online
1268,Village,no,yes,yes,no,Offline
1269,Village,yes,no,yes,no,Offline
1270,Village,yes,no,yes,yes,Online
1271,Town,no,no,yes,no,Offline
1272,Village,no,no,yes,yes,Offline
1273,Town,no,no,yes,yes,Online
1274,Village,yes,yes,no,no,Offline
1275,Town,no,yes,no,yes,Offline
1276,Town,no,no,yes,no,Online
1277,Town,no,no,no,yes,Offline
1278,Town,yes,no,yes,yes,Online
1279,Town,no,no,no,yes,Online
1280,Village,yes,yes,yes,yes,Online
1281,Town,no,yes,no,no,Offline
1282,Town,no,yes,yes,yes,Online
1283,Village,no,no,no,no,Online
1284,Village,no,no,no,no,Online
1285,Village,no,no,yes,no,Online
1286,Village,yes,no,yes,yes,Online
1287,Village,yes,yes,no,yes,Offline
1288,Village,no,no,yes,no,Offline
1289,Village,no,yes,no,no,Offline
1290,Town,yes,yes,yes,yes,Offline
1291,Town,yes,no,yes,yes,Offline
1292,Village,no,yes,yes,no,Online
1293,Town,yes,yes,no,no,Online
1294,Village,yes,no,yes,yes,Online
1295,Village,yes,yes,yes,yes,Offline
1296,Village,yes,yes,no,no,Offline
1297,Village,no,no,no,no,Offline
1298,Town,no,yes,no,no,Offline
1299,Village,yes,no,no,yes,Offline
1300,Village,yes,yes,yes,no,Online
1301,Village,no,yes,no,yes,Online
1302,Town,no,no,no,yes,Online
1303,Town,yes,yes,no,yes,Online
1304,Village,no,yes,yes,yes,Offline
1305,Town,no,no,no,no,Offline
1306,Village,no,no,yes,yes,Online
1307,Town,yes,no,no,no,Online
1308,Village,no,yes,yes,no,Online
1309,Town,yes,no,no,no,Online
1310,Town,no,yes,no,yes,Offline
1311,Village,yes,yes,yes,no,Online
1312,Village,no,no,no,no,Online
1313,Village,no,no,no,yes,Online
1314,Village,yes,no,yes,yes,Offline
1315,Town,no,no,no,yes,Online
1316,Town,yes,yes,yes,yes,Offline
1317,Town,yes,yes,no,no,Online
1318,Town,no,yes,yes,no,Online
1319,Village,no,no,no,no,Offline
1320,Village,no,no,yes,no,Online
1321,Town,yes,yes,yes,yes,Offline
1322,Village,yes,no,no,yes,Offline
1323,Village,no,yes,no,no,Online
1324,Town,yes,no,yes,yes,Online
1325,Village,no,no,no,yes,Online
1326,Village,no,yes,yes,yes,Online
1327,Village,no,no,no,yes,Online
1328,Town,no,yes,yes,yes,Online
1329,Village,yes,no,yes,no,Offline
1330,Town,no,yes,yes,yes,Offline
1331,Village,no,no,no,yes,Online
1332,Town,no,yes,yes,yes,Offline
1333,Village,yes,no,no,yes,Online
1334,Village,yes,no,no,yes,Online
1335,Town,no,yes,no,yes,Offline
1336,Village,yes,no,no,no,Online
1337,Village,yes,yes,yes,yes,Offline
1338,Town,no,no,yes,no,Offline
1339,Town,no,no,no,yes,Offline
1340,Village,no,no,yes,yes,Online
1341,Town,yes,yes,no,yes,Online
1342,Town,yes,yes,yes,no,Online
1343,Town,yes,yes,yes,yes,Offline
1344,Town,no,yes,yes,yes,Offline
1345,Village,no,no,yes,yes,Offline
1346,Town,no,no,no,no,Offline
1347,Town,yes,yes,yes,no,Offline
1348,Town,yes,yes,yes,no,Offline
1349,Village,yes,yes,no,no,Offline
1350,Town,yes,no,yes,no,Offline
1351,Town,no,yes,yes,yes,Offline
1352,Town,no,no,no,no,Offline
1353,Town,yes,yes,no,yes,Online
1354,Village,yes,no,yes,yes,Offline
1355,Village,no,yes,no,no,Online
1356,Village,yes,no,no,no,Online
1357,Town,yes,yes,no,no,Online
1358,Town,no,yes,yes,yes,Online
1359,Town,no,yes,no,no,Online
1360,Town,no,yes,no,no,Offline
1361,Village,no,no,yes,yes,Online
1362,Village,no,yes,no,yes,Offline
1363,Town,no,no,yes,no,Offline
1364,Village,no,no,no,yes,Offline
1365,Village,no,no,yes,yes,Online
1366,Town,yes,no,no,no,Offline
1367,Town,yes,yes,yes,yes,Offline
1368,Village,no,yes,no,yes,Offline
1369,Village,no,yes,yes,no,Online
1370,Village,yes,no,yes,yes,Online
1371,Village,yes,no,yes,yes,Offline
1372,Town,yes,yes,yes,yes,Online
1373,Village,yes,no,yes,yes,Online
1374,Town,no,no,no,no,Offline
1375,Village,yes,yes,no,no,Online
1376,Town,no,yes,yes,yes,Offline
1377,Town,yes,yes,yes,yes,Offline
1378,Village,yes,yes,no,yes,Online
1379,Town,no,no,yes,no,Online
1380,Village,yes,yes,yes,no,Online
1381,Town,no,no,no,yes,Offline
1382,Town,no,no,yes,yes,Offline
1383,Village,no,no,yes,no,Offline
1384,Village,no,yes,no,yes,Offline
1385,Village,no,yes,yes,no,Offline
1386,Town,yes,yes,no,no,Online
1387,Town,yes,no,no,no,Offline
1388,Village,no,yes,no,no,Online
1389,Town,no,yes,yes,yes,Offline
1390,Village,yes,yes,no,yes,Online
1391,Town,no,yes,no,no,Offline
1392,Village,yes,no,yes,yes,Offline
1393,Town,no,no,yes,no,Online
1394,Village,no,yes,no,no,Online
1395,Town,no,no,no,yes,Offline
1396,Town,no,no,yes,yes,Online
1397,Village,yes,yes,yes,yes,Offline
1398,Village,no,yes,yes,no,Offline
1399,Town,no,no,yes,no,Offline
1400,Village,yes,yes,no,yes,Online
1401,Village,no,yes,yes,no,Online
1402,Village,yes,no,yes,yes,Offline
1403,Town,no,no,no,no,Offline
1404,Town,no,yes,no,yes,Offline
1405,Town,yes,yes,yes,yes,Offline
1406,Town,yes,no,no,yes,Online
1407,Village,no,yes,yes,no,Online
1408,Village,no,yes,no,no,Offline
1409,Town,no,no,yes,yes,Offline
1410,Village,yes,yes,yes,yes,Online
1411,Village,no,no,yes,yes,Online
1412,Town,yes,no,yes,no,Online
1413,Village,yes,no,yes,no,Online
1414,Village,yes,no,no,no,Offline
1415,Village,no,no,no,no,Offline
1416,Village,yes,yes,no,no,Offline
1417,Town,yes,no,yes,yes,Online
1418,Town,yes,no,no,yes,Offline
1419,Town,no,yes,yes,yes,Online
1420,Town,no,no,no,yes,Online
1421,Town,yes,yes,yes,yes,Online
1422,Village,no,yes,yes,yes,Online
1423,Village,yes,yes,no,no,Offline
1424,Town,no,no,yes,yes,Offline
1425,Village,no,yes,yes,no,Offline
1426,Town,no,no,no,no,Online
1427,Village,yes,yes,yes,no,Online
1428,Village,no,no,no,no,Offline
1429,Town,no,no,no,yes,Offline
1430,Village,no,yes,yes,no,Offline
1431,Village,no,yes,no,no,Offline
1432,Village,yes,no,yes,no,Online
1433,Town,no,no,no,yes,Online
1434,Village,yes,yes,yes,yes,Online
1435,Village,no,no,yes,yes,Offline
1436,Village,no,no,yes,yes,Offline
1437,Village,yes,yes,no,no,Offline
1438,Village,yes,yes,no,no,Offline
1439,Village,no,no,yes,yes,Offline
1440,Town,no,no,yes,yes,Online
1441,Town,yes,yes,yes,no,Offline
1442,Town,no,yes,yes,yes,Offline
1443,Town,yes,yes,yes,yes,Offline
1444,Town,yes,no,yes,yes,Offline
1445,Town,yes,no,yes,no,Offline
1446,Village,yes,no,no,yes,Offline
1447,Village,yes,no,no,no,Online
1448,Village,no,no,yes,yes,Online
1449,Town,no,no,yes,no,Offline
1450,Town,no,yes,yes,yes,Offline
1451,Town,yes,no,yes,no,Offline
1452,Village,yes,yes,yes,yes,Offline
1453,Village,yes,no,no,yes,Offline
1454,Village,no,no,no,no,Online
1455,Town,no,no,yes,no,Offline
1456,Village,no,yes,yes,no,Online
1457,Town,yes,yes,no,yes,Online
1458,Village,yes,yes,no,yes,Offline
1459,Village,no,no,yes,yes,Offline
1460,Town,no,yes,no,yes,Offline
1461,Town,no,yes,yes,no,Online
1462,Town,no,yes,yes,yes,Online
1463,Town,no,yes,no,no,Online
1464,Town,yes,no,yes,no,Online
1465,Town,yes,yes,no,no,Offline
1466,Village,yes,no,yes,no,Online
1467,Village,yes,yes,no,yes,Offline
1468,Village,yes,no,no,no,Offline
1469,Village,yes,no,yes,no,Offline
1470,Village,yes,no,no,no,Offline
1471,Town,yes,no,yes,yes,Offline
1472,Town,yes,yes,yes,yes,Online
1473,Village,yes,no,yes,yes,Online
1474,Village,no,yes,no,no,Online
1475,Village,no,yes,yes,no,Online
